"username","komentar"
"adelia_kputri","Putra Bungsu Raja Konoha gak laku kalo di Kota. Secara umum pemilih cerdas, dan juga ga ada Kades² yg bs dikonsolidasikan."
"zainalarief53","Tetap 1% dong 😂🔥"
"iyee_ol","Kok anak muda paling berprestasi   ga masuk ? Jgn sampe bapaknya nyuruh KPK obrak abrik kompas."
"aagadgetcomp","Pak dharma dong nomer 1"
"syahputra15._","Kadrun tumben percaya survey 😂"
"christopher_dwiandana","Ridwan kamil ahok oye, no simbah yaman"
"ibnufajri11","Akun ini dr jman capress lbh ke aniss... 🔥"
"jefrie_dj","Klo gitu relakan saja jakarta...toh bkn ibukota lagi..kita tinggal pantau bencana ke depan😂"
"bangbazoeri","Tumben Kaesang 1% biasanya klo lembaga survey keluarga solo selalu bagus🤣"
"agam.sofyanto99","Bosan , siapapun yg jadi pemimpin, rakyat Indonesia tetap miskin"
"muliagumi","Bagi bansos lagi, pasti anak bapak naik lagi namanya 🤣"
"loksavarrambonk","Jahat bgt, masa ciman 4 orang yg milih, padahal sdh rajin ibadah loh!😂😂😂"
"natha_permana","👏👏👏"
"zulkarnain_m.amin","Mantap Pak Anies 🔥"
"beny_y33","Kok gak ada anak Fir'aun???"
"regust_indra","Ahok 🔥🔥"
"aribawaper","Koh Ahok, aku padamu ✊✊✊.. Anies vs Ahok Jilid 2"
"armandarief18",""
"septiandwi92","Pak Anies, Pak Ahok dan Pak Ridwan kamil aja. Udah ga usah bnyk2 calon nya"
"lani.tolani.77","Tenang2...yg baru dapat 1 persen...pertarungan belom di mulai..yg penting bansos siaga dulu..insya allah menang...semangat🔥🔥"
"bayuprasetya31","Ahok 🔥"
"medina_anastasya","Pak Ahol cocok sihhh"
"balibikerun","Die lagi die lagi... ada yg lain gak ? 😂🤣"
"tsanjaya_9","Anis Ahok =Is ok"
"hanshandoko93","Anies aja lah"
"revasabr","maaf ya bro sang  warga Jakarta masih lebih rasional dlm memilih calon pemimpin nya"
"gie_wahid","Yang 1 % bisa menang didukung abuse of powrr"
